step,timestamp,split,vibration_rms,temperature_c,current_a,speed_rpm,acoustic_db,pressure_kpa
0,2026-07-01T13:08:32,future,2.17779,63.10961,131.1214,1211.31658,67.38677,390.84772
1,2026-07-01T13:08:33,future,1.87071,64.84839,132.82758,1218.24181,65.02706,391.37803
2,2026-07-01T13:08:34,future,1.78149,55.53442,122.16032,1204.31519,65.1107,390.67828
3,2026-07-01T13:08:35,future,1.83899,67.66388,130.0505,1225.62489,63.66246,388.66383
4,2026-07-01T13:08:36,future,2.14751,68.08462,114.07392,1156.59601,65.3675,415.24284
5,2026-07-01T13:08:37,future,2.12372,56.13197,128.07231,1224.21771,60.84451,392.01762
6,2026-07-01T13:08:38,future,1.78993,57.79647,120.13683,1157.0941,63.76553,411.3475
7,2026-07-01T13:08:39,future,2.39005,53.55784,117.12823,1177.12938,64.22207,416.40473
8,2026-07-01T13:08:40,future,2.32325,54.10133,115.20468,1175.45956,62.50159,418.29856
9,2026-07-01T13:08:41,future,1.70093,66.84499,128.73675,1208.4894,63.7035,392.39093
10,2026-07-01T13:08:42,future,2.16604,57.15732,117.48373,1154.92063,63.51571,418.84398
11,2026-07-01T13:08:43,future,2.24045,54.01734,125.57866,1215.19222,66.66146,410.30562
12,2026-07-01T13:08:44,future,1.79177,62.29312,124.51064,1166.68683,67.87156,409.0746
13,2026-07-01T13:08:45,future,2.41429,61.14307,128.87202,1200.01289,68.18679,392.90599
14,2026-07-01T13:08:46,future,2.40299,54.98424,122.15139,1201.36719,65.28827,414.20974
15,2026-07-01T13:08:47,future,2.24049,67.06824,118.11845,1154.86901,65.71623,418.91341
16,2026-07-01T13:08:48,future,1.75115,67.92054,126.04232,1206.90431,62.16967,399.03437
17,2026-07-01T13:08:49,future,1.72618,54.9026,119.34084,1157.44743,61.75149,414.9333
18,2026-07-01T13:08:50,future,2.16891,53.9047,125.64995,1207.99039,67.65678,406.26701
19,2026-07-01T13:08:51,future,2.34572,56.5159,116.08045,1149.48028,65.60027,418.86809
20,2026-07-01T13:08:52,future,2.11895,65.49363,133.55918,1220.8178,65.43258,391.42905
21,2026-07-01T13:08:53,future,2.25014,56.58978,132.87857,1218.09368,62.22467,391.49073
22,2026-07-01T13:08:54,future,2.221,60.43065,126.68084,1194.75813,63.37035,401.5923
23,2026-07-01T13:08:55,future,2.42784,54.64476,118.68061,1183.69254,62.77097,413.50131
24,2026-07-01T13:08:56,future,2.284,68.31842,115.74007,1152.48631,65.62855,420.8591
25,2026-07-01T13:08:57,future,2.19921,67.20676,116.84973,1158.27983,66.80343,418.04269
26,2026-07-01T13:08:58,future,1.78882,56.79035,117.23033,1157.49131,62.97369,415.6633
27,2026-07-01T13:08:59,future,2.37963,55.70441,116.12903,1156.72838,68.5063,415.77532
28,2026-07-01T13:09:00,future,2.26063,55.63513,126.45106,1211.72935,65.19885,410.07052
29,2026-07-01T13:09:01,future,2.11391,57.84576,120.57747,1157.52091,63.97583,417.513
30,2026-07-01T13:09:02,future,2.13249,66.74782,114.14581,1151.89212,67.35455,415.58632
31,2026-07-01T13:09:03,future,2.01096,62.14982,126.38914,1185.58203,64.84187,406.50635
32,2026-07-01T13:09:04,future,1.69771,61.68853,130.97803,1193.26771,63.40698,409.60856
33,2026-07-01T13:09:05,future,2.26361,55.90986,119.76539,1170.0281,66.11435,412.20415
34,2026-07-01T13:09:06,future,1.80512,53.34287,120.05799,1194.22295,66.04455,397.19474
35,2026-07-01T13:09:07,future,2.09924,64.2278,132.82562,1214.74531,67.54673,392.07161
36,2026-07-01T13:09:08,future,2.05565,55.25087,118.35524,1170.75705,61.81763,419.62452
37,2026-07-01T13:09:09,future,1.80987,57.97219,121.29205,1153.89173,64.66276,412.0235
38,2026-07-01T13:09:10,future,1.75746,64.61534,123.53484,1151.89643,68.80782,415.99802
