step,timestamp,split,vibration_rms,temperature_c,current_a,speed_rpm,acoustic_db,pressure_kpa
0,2026-07-01T14:00:00,history,1.09318,68.45619,95.35208,826.50951,63.34762,411.66446
1,2026-07-01T14:00:01,history,1.22276,68.97307,98.67596,831.63095,63.59251,410.23585
2,2026-07-01T14:00:02,history,1.27424,69.46237,99.75164,816.09579,61.69739,409.61484
3,2026-07-01T14:00:03,history,1.25908,67.23789,98.85821,822.72485,61.74327,412.04245
4,2026-07-01T14:00:04,history,1.32181,69.50896,95.26159,830.59253,63.51108,413.78221
5,2026-07-01T14:00:05,history,1.40302,69.10448,99.33126,832.04686,60.78696,417.74352
6,2026-07-01T14:00:06,history,1.39037,69.90254,95.32697,828.21926,63.38847,413.02521
7,2026-07-01T14:00:07,history,1.40254,70.78442,96.5117,829.94997,64.12751,414.94969
8,2026-07-01T14:00:08,history,1.48771,69.24741,99.6879,845.02949,64.35407,417.74449
9,2026-07-01T14:00:09,history,1.5936,70.43336,98.03712,833.28281,64.25865,416.94977
10,2026-07-01T14:00:10,history,1.52116,70.77545,101.6254,835.15335,64.21007,416.69775
11,2026-07-01T14:00:11,history,1.51673,70.35344,101.17012,834.19808,63.7511,419.55426
12,2026-07-01T14:00:12,history,1.55106,70.99999,98.15837,846.95618,63.98924,416.45409
13,2026-07-01T14:00:13,history,1.55784,71.46808,101.04395,830.03279,63.72479,414.04633
14,2026-07-01T14:00:14,history,1.58532,71.55727,99.34053,841.17556,64.16403,416.23909
15,2026-07-01T14:00:15,history,1.51741,71.58215,97.13421,845.15847,65.59035,418.74144
16,2026-07-01T14:00:16,history,1.47936,71.36674,100.16667,848.21242,63.87839,415.35529
17,2026-07-01T14:00:17,history,1.57259,71.54833,101.62282,841.05728,63.93789,417.77852
18,2026-07-01T14:00:18,history,1.47905,72.23527,97.66103,853.63191,64.55372,425.27552
19,2026-07-01T14:00:19,history,1.61321,71.88791,98.68391,845.48672,65.03116,422.11067
20,2026-07-01T14:00:20,history,1.48775,71.56864,98.75523,849.56521,64.92694,420.67751
21,2026-07-01T14:00:21,history,1.55854,72.4047,99.91593,847.86311,65.43181,422.94586
22,2026-07-01T14:00:22,history,1.62224,72.94541,97.79127,854.90925,65.33019,424.92005
23,2026-07-01T14:00:23,history,1.6335,72.09982,100.76979,857.29004,64.8215,424.26688
24,2026-07-01T14:00:24,history,1.59205,71.9125,99.69959,853.87462,64.42666,419.24654
25,2026-07-01T14:00:25,history,1.44544,73.31037,99.31059,847.30629,64.39257,423.00302
26,2026-07-01T14:00:26,history,1.50075,72.50788,99.51285,843.24093,64.89223,420.54166
27,2026-07-01T14:00:27,history,1.36765,73.58099,94.51809,865.06587,66.04703,420.03515
28,2026-07-01T14:00:28,history,1.5001,73.81814,98.10746,853.39434,66.49098,418.77035
29,2026-07-01T14:00:29,history,1.48536,72.94393,98.70358,844.52832,65.64476,424.93874
30,2026-07-01T14:00:30,history,1.13047,73.76585,95.31578,853.38506,64.65084,421.327
31,2026-07-01T14:00:31,history,1.53189,72.68885,98.29634,850.60787,65.26443,424.14951
32,2026-07-01T14:00:32,history,0.99369,74.68375,90.3015,852.60801,61.89519,420.51279
33,2026-07-01T14:00:33,history,1.48757,73.81083,97.78898,861.03824,64.87258,424.25821
34,2026-07-01T14:00:34,history,1.10314,74.57693,94.26559,859.28079,65.78133,421.3557
35,2026-07-01T14:00:35,history,1.25408,74.66183,96.36568,857.42699,63.79744,423.3456
36,2026-07-01T14:00:36,history,1.33893,73.96135,95.73606,858.89957,66.01877,421.72489
37,2026-07-01T14:00:37,history,0.92341,76.4522,92.95457,840.52587,62.35536,423.53315
38,2026-07-01T14:00:38,history,1.32,74.25729,96.38645,844.24258,64.4741,423.09405
39,2026-07-01T14:00:39,history,1.26511,75.98954,99.13056,858.20004,64.10071,423.15441
40,2026-07-01T14:00:40,history,1.15967,74.36375,94.55787,851.51476,64.39201,420.03665
41,2026-07-01T14:00:41,history,0.93683,76.21583,89.37808,837.15788,61.64644,419.13107
42,2026-07-01T14:00:42,history,1.34812,72.84912,97.7924,859.89454,65.05951,420.1601
43,2026-07-01T14:00:43,history,1.24779,75.94609,98.76519,854.96595,64.14051,423.44038
44,2026-07-01T14:00:44,history,1.21172,74.63274,97.99725,852.07065,64.11138,426.13127
45,2026-07-01T14:00:45,history,0.8441,76.47345,93.1662,837.20689,61.00117,418.76697
46,2026-07-01T14:00:46,history,1.06984,74.91743,94.3403,835.35188,65.29464,418.88487
47,2026-07-01T14:00:47,history,0.9486,76.5203,89.06817,831.0392,60.96538,419.22081
48,2026-07-01T14:00:48,history,1.29023,76.51423,86.13225,808.91735,59.39961,410.94991
49,2026-07-01T14:00:49,history,1.07912,77.11923,87.82884,812.23285,59.85593,415.54802
50,2026-07-01T14:00:50,history,1.25118,76.43601,86.44831,815.61078,60.1332,408.68132
51,2026-07-01T14:00:51,history,1.26587,76.54368,88.75259,816.97153,59.16025,409.37348
52,2026-07-01T14:00:52,history,0.97624,74.85476,88.7838,827.66535,60.50208,417.75071
53,2026-07-01T14:00:53,history,0.95317,75.43802,92.94291,847.13885,62.50822,422.27517
54,2026-07-01T14:00:54,history,0.9264,76.31231,96.09521,835.09396,61.7301,419.58609
55,2026-07-01T14:00:55,history,1.00527,76.33399,93.66325,839.36965,62.79324,418.80062
56,2026-07-01T14:00:56,history,0.97851,76.62492,92.72297,841.30902,61.39987,422.82946
57,2026-07-01T14:00:57,history,1.44438,76.61575,85.88771,801.25763,59.3263,409.56988
58,2026-07-01T14:00:58,history,1.43097,77.10574,83.96059,796.25506,58.56821,408.1925
59,2026-07-01T14:00:59,history,1.23818,76.7152,86.60175,811.3963,58.38283,411.57686
60,2026-07-01T14:01:00,history,0.99403,74.90729,91.15372,848.97478,61.33401,420.94679
61,2026-07-01T14:01:01,history,1.12512,76.56656,84.36142,817.93797,59.98058,412.28382
62,2026-07-01T14:01:02,history,0.96561,76.338,90.34876,834.71604,62.5706,419.52577
63,2026-07-01T14:01:03,history,1.48226,75.16895,86.66242,799.26738,59.44488,403.90116
64,2026-07-01T14:01:04,history,1.02114,76.39654,91.14033,831.1076,60.72541,416.24623
65,2026-07-01T14:01:05,history,1.02297,76.38626,86.68455,820.04599,59.85184,414.37406
66,2026-07-01T14:01:06,history,0.99421,76.25795,86.78507,825.90469,60.90019,413.90839
67,2026-07-01T14:01:07,history,0.91465,76.90877,86.90929,835.03982,61.05896,416.10247
68,2026-07-01T14:01:08,history,1.00049,77.77934,90.39576,825.95229,60.61242,413.6243
69,2026-07-01T14:01:09,history,1.14087,76.47944,87.08943,823.77045,60.03188,415.85453
70,2026-07-01T14:01:10,history,0.97786,77.10797,88.95317,833.94529,60.74247,418.16873
71,2026-07-01T14:01:11,history,1.61936,77.34002,84.36161,794.31835,58.63648,402.62116
72,2026-07-01T14:01:12,history,1.64338,74.40788,85.66153,776.7011,62.78901,396.23516
73,2026-07-01T14:01:13,history,1.61933,76.45643,84.42153,785.37371,61.76694,397.57708
74,2026-07-01T14:01:14,history,1.59248,76.42639,84.83899,798.47247,59.25409,404.4972
75,2026-07-01T14:01:15,history,1.71601,74.62726,85.32048,784.20023,61.11787,399.37293
76,2026-07-01T14:01:16,history,1.26081,76.64925,81.87736,815.2682,60.22359,413.7906
77,2026-07-01T14:01:17,history,1.46364,75.7815,84.90169,800.66387,60.50956,409.12351
78,2026-07-01T14:01:18,history,1.16531,76.00554,89.52012,812.4952,60.06923,415.65607
79,2026-07-01T14:01:19,history,1.43879,72.90601,88.72003,782.29146,63.17448,395.76936
80,2026-07-01T14:01:20,history,1.33643,77.36316,85.74816,805.66128,59.48393,406.43312
81,2026-07-01T14:01:21,history,1.12694,76.4674,85.65027,821.718,60.37923,413.50305
82,2026-07-01T14:01:22,history,1.45327,74.49694,86.444,783.81723,63.51399,395.74546
83,2026-07-01T14:01:23,history,1.65409,75.29026,82.77672,779.80906,60.1299,394.77538
