step,timestamp,split,vibration_rms,temperature_c,current_a,speed_rpm,acoustic_db,pressure_kpa
0,2026-07-01T14:08:32,future,2.81234,75.99352,90.87854,783.40567,65.70833,417.15136
1,2026-07-01T14:08:33,future,3.33161,81.19832,102.0219,827.47292,66.28223,401.88396
2,2026-07-01T14:08:34,future,2.95534,76.62107,101.07418,854.54834,69.36889,395.26181
3,2026-07-01T14:08:35,future,3.34796,80.02878,98.96353,815.24095,67.00972,400.44259
4,2026-07-01T14:08:36,future,3.55213,78.86226,108.08458,832.57583,65.29883,399.83664
5,2026-07-01T14:08:37,future,3.13624,78.91853,95.03185,784.89889,66.55515,407.94309
6,2026-07-01T14:08:38,future,3.23294,85.82176,107.69766,845.45835,66.94456,390.46453
7,2026-07-01T14:08:39,future,3.37381,76.04152,88.9602,794.20951,63.63658,421.74847
8,2026-07-01T14:08:40,future,3.80917,78.26039,91.52895,791.71188,67.03648,420.03167
9,2026-07-01T14:08:41,future,3.82314,76.75322,91.88444,791.05597,69.14384,413.81191
10,2026-07-01T14:08:42,future,3.58793,75.98468,89.27259,803.13019,66.32315,416.63029
11,2026-07-01T14:08:43,future,3.51778,83.61423,102.10156,818.1829,68.65032,402.75052
12,2026-07-01T14:08:44,future,3.34019,86.45433,92.24357,788.05393,69.64276,419.52067
13,2026-07-01T14:08:45,future,3.52251,75.42833,85.18104,796.46961,64.28541,415.73903
14,2026-07-01T14:08:46,future,3.94965,75.46703,93.92375,840.01146,71.55966,410.41279
15,2026-07-01T14:08:47,future,3.97534,76.64131,97.29424,838.43455,67.96994,406.73751
16,2026-07-01T14:08:48,future,4.04046,82.3416,106.27602,838.25304,65.77636,398.89798
17,2026-07-01T14:08:49,future,4.03013,83.18334,102.45798,810.15282,69.93236,399.13847
18,2026-07-01T14:08:50,future,3.83118,85.94691,103.94148,843.38727,68.97407,389.39268
19,2026-07-01T14:08:51,future,3.74446,83.30504,99.51308,820.04114,67.76059,404.14158
20,2026-07-01T14:08:52,future,4.09595,82.47464,104.31179,833.77016,65.86042,393.80081
21,2026-07-01T14:08:53,future,3.51065,78.92301,96.55936,789.44994,64.82496,410.47958
22,2026-07-01T14:08:54,future,4.1515,83.33098,102.96606,823.65593,71.4897,397.21191
23,2026-07-01T14:08:55,future,4.13595,89.50423,88.84702,792.57207,68.6604,416.86172
24,2026-07-01T14:08:56,future,4.0874,80.23731,104.1463,869.70608,66.50343,393.4643
25,2026-07-01T14:08:57,future,3.60892,79.17975,93.00986,781.93715,64.8783,415.24713
26,2026-07-01T14:08:58,future,3.92511,79.3135,102.10339,845.61431,66.65555,392.7659
27,2026-07-01T14:08:59,future,3.74269,81.7551,94.25507,789.93075,66.1805,409.29244
28,2026-07-01T14:09:00,future,3.85873,79.03365,101.13531,853.09537,67.12917,387.01327
29,2026-07-01T14:09:01,future,3.68764,87.19623,97.10673,807.75553,69.56185,410.77826
30,2026-07-01T14:09:02,future,4.44165,84.13523,100.78476,814.36394,71.01813,397.34819
31,2026-07-01T14:09:03,future,3.75509,79.83294,92.40034,775.1254,66.84295,411.74334
32,2026-07-01T14:09:04,future,3.9068,88.00079,98.53153,795.25708,70.04479,410.07528
33,2026-07-01T14:09:05,future,3.92173,90.36598,104.81,845.45907,69.4929,392.96611
34,2026-07-01T14:09:06,future,3.94317,87.95174,96.0841,797.22198,70.06076,413.35446
35,2026-07-01T14:09:07,future,4.12226,82.8526,99.86209,790.51673,69.4775,406.80318
36,2026-07-01T14:09:08,future,4.08395,92.56753,93.97175,844.70501,66.42482,397.53145
37,2026-07-01T14:09:09,future,3.9974,86.86946,101.64949,805.92475,69.87618,409.97736
38,2026-07-01T14:09:10,future,4.06279,91.93535,104.35045,856.69598,68.28939,387.18332
39,2026-07-01T14:09:11,future,4.53338,92.85173,92.72977,811.66079,68.43307,411.48062
40,2026-07-01T14:09:12,future,4.0953,80.67311,89.59732,794.6072,68.07212,417.08864
41,2026-07-01T14:09:13,future,4.7204,79.76643,92.11849,821.79028,68.86307,418.14149
42,2026-07-01T14:09:14,future,4.42015,90.0752,106.1473,856.94718,70.83125,389.43168
43,2026-07-01T14:09:15,future,4.41987,93.4428,92.19092,837.243,66.44647,403.47027
44,2026-07-01T14:09:16,future,4.21244,82.92634,94.97092,802.69029,68.44028,411.90032
45,2026-07-01T14:09:17,future,4.21405,81.59809,94.56928,793.76369,66.3584,417.37118
46,2026-07-01T14:09:18,future,4.39679,83.75061,96.26106,793.28864,69.01592,408.01468
