step,timestamp,split,vibration_rms,temperature_c,current_a,speed_rpm,acoustic_db,pressure_kpa
0,2026-07-01T15:00:00,history,1.18397,64.53782,169.57198,1234.74548,62.4656,412.49206
1,2026-07-01T15:00:01,history,1.2439,64.47503,170.39372,1247.03219,62.58049,407.22388
2,2026-07-01T15:00:02,history,1.27769,63.01315,167.82164,1246.39024,62.41081,412.11446
3,2026-07-01T15:00:03,history,1.35322,66.27897,168.60226,1240.90393,62.19109,411.18985
4,2026-07-01T15:00:04,history,1.37474,64.70028,170.25195,1243.98121,62.76139,414.87303
5,2026-07-01T15:00:05,history,1.38825,64.58113,171.92052,1247.81726,62.37817,412.73471
6,2026-07-01T15:00:06,history,1.41609,63.36551,172.59667,1256.25963,61.95885,413.72274
7,2026-07-01T15:00:07,history,1.44063,65.51132,173.06942,1244.22337,62.9646,412.94914
8,2026-07-01T15:00:08,history,1.50108,67.50462,174.03207,1255.20196,64.40296,415.27247
9,2026-07-01T15:00:09,history,1.43985,65.4518,171.1226,1250.87082,63.87628,417.80009
10,2026-07-01T15:00:10,history,1.4462,65.75916,174.25495,1260.82454,65.08614,418.54682
11,2026-07-01T15:00:11,history,1.50361,66.5842,172.96887,1263.20303,64.9973,415.82087
12,2026-07-01T15:00:12,history,1.65945,66.87134,172.08143,1263.56729,63.48359,417.02949
13,2026-07-01T15:00:13,history,1.46267,68.06729,172.52691,1258.53761,64.94482,419.23166
14,2026-07-01T15:00:14,history,1.53027,66.13813,172.35046,1262.7893,66.23515,414.83647
15,2026-07-01T15:00:15,history,1.53276,66.48445,170.61168,1262.70358,65.37231,413.54535
16,2026-07-01T15:00:16,history,1.61511,69.17641,173.06552,1264.6182,64.70409,416.75473
17,2026-07-01T15:00:17,history,1.55833,68.56137,169.8344,1260.62161,63.24205,421.33156
18,2026-07-01T15:00:18,history,1.52083,67.19,171.99361,1258.84579,65.70249,421.1941
19,2026-07-01T15:00:19,history,1.51069,68.00982,173.36171,1271.90177,64.26975,420.16664
20,2026-07-01T15:00:20,history,1.42919,68.24669,171.57701,1273.99871,66.00469,424.66025
