step,timestamp,split,vibration_rms,temperature_c,current_a,speed_rpm,acoustic_db,pressure_kpa
0,2026-07-01T16:08:32,future,1.0453,64.67547,88.54642,1339.69428,59.80012,417.35481
1,2026-07-01T16:08:33,future,1.3508,75.96562,93.78918,1379.76272,59.1384,409.9084
2,2026-07-01T16:08:34,future,0.92121,73.23199,98.07093,1334.16474,64.96175,417.15227
3,2026-07-01T16:08:35,future,1.58151,75.11946,87.91878,1331.29853,63.99425,422.36495
4,2026-07-01T16:08:36,future,1.35664,66.86668,100.36146,1337.07166,61.87462,412.69379
5,2026-07-01T16:08:37,future,1.02806,64.26568,91.10809,1340.00565,59.59983,421.28911
6,2026-07-01T16:08:38,future,1.31916,66.2969,96.82792,1342.81995,63.86263,411.30277
7,2026-07-01T16:08:39,future,1.60995,74.72797,91.64472,1338.52037,63.24597,421.08213
8,2026-07-01T16:08:40,future,1.68848,62.14792,93.36338,1362.75198,60.18066,418.04389
9,2026-07-01T16:08:41,future,1.36291,63.9591,101.44678,1399.49037,58.81464,395.56247
10,2026-07-01T16:08:42,future,1.64583,65.15818,109.46557,1392.23707,59.70812,399.5542
11,2026-07-01T16:08:43,future,1.06941,74.13042,93.92156,1336.40142,65.41549,422.18491
12,2026-07-01T16:08:44,future,1.63293,70.34836,108.44499,1377.41793,66.66573,396.68781
13,2026-07-01T16:08:45,future,1.37574,72.3499,103.8854,1392.10507,62.87575,395.47415
14,2026-07-01T16:08:46,future,1.48823,75.53197,93.03458,1336.91955,63.50052,424.41419
15,2026-07-01T16:08:47,future,1.24061,69.63312,103.69112,1356.48326,64.16451,410.4806
16,2026-07-01T16:08:48,future,1.7127,70.58706,103.55651,1378.15431,65.69094,403.39884
17,2026-07-01T16:08:49,future,1.51527,64.32475,93.88499,1322.67242,61.7769,420.60078
18,2026-07-01T16:08:50,future,1.02116,74.92687,100.50231,1396.22775,60.91566,402.21964
19,2026-07-01T16:08:51,future,1.5346,60.72377,91.52784,1342.416,66.23311,410.7868
20,2026-07-01T16:08:52,future,1.62773,66.94953,105.39913,1397.86747,59.81249,399.27283
21,2026-07-01T16:08:53,future,1.32543,74.72908,91.58625,1330.53088,66.82648,423.80713
22,2026-07-01T16:08:54,future,1.14101,74.99883,94.80747,1378.06345,58.71507,404.86901
23,2026-07-01T16:08:55,future,1.53315,74.97932,93.14753,1342.16772,64.1366,423.04304
24,2026-07-01T16:08:56,future,1.47558,73.3469,106.60315,1388.15563,63.97562,395.2987
25,2026-07-01T16:08:57,future,1.10474,74.88895,103.31307,1392.62053,60.00921,403.97094
26,2026-07-01T16:08:58,future,1.57352,62.95208,104.31852,1388.58779,65.03579,415.09313
27,2026-07-01T16:08:59,future,1.59414,68.19642,105.03867,1383.17203,60.28499,405.11124
28,2026-07-01T16:09:00,future,1.48407,64.94429,92.9134,1334.0943,60.25188,421.56731
29,2026-07-01T16:09:01,future,1.66982,70.34667,102.79824,1376.30129,64.88264,397.49815
30,2026-07-01T16:09:02,future,1.59,61.85074,96.47495,1376.19765,63.3321,416.01877
31,2026-07-01T16:09:03,future,1.01838,73.86875,102.48346,1403.39676,61.87948,398.98523
32,2026-07-01T16:09:04,future,1.55447,74.9115,88.15669,1329.0281,64.31636,422.73264
33,2026-07-01T16:09:05,future,1.60307,62.64246,89.85418,1362.98386,61.73002,422.26757
34,2026-07-01T16:09:06,future,1.29636,62.98022,101.67749,1396.53287,60.3894,395.83209
35,2026-07-01T16:09:07,future,1.64822,69.73313,104.08668,1379.87146,64.57689,401.27211
36,2026-07-01T16:09:08,future,1.62921,61.7422,94.34522,1382.64517,63.26384,416.63668
37,2026-07-01T16:09:09,future,0.98704,63.52804,89.86858,1328.28161,59.62291,423.46776
38,2026-07-01T16:09:10,future,0.88964,64.94037,92.11922,1331.1485,60.37741,418.46947
39,2026-07-01T16:09:11,future,1.26082,72.82776,110.93022,1399.24427,63.88181,394.73833
40,2026-07-01T16:09:12,future,0.9313,75.41219,100.17436,1401.04675,59.33328,399.33945
41,2026-07-01T16:09:13,future,1.64148,64.12849,93.2301,1328.07464,64.36989,423.31536
42,2026-07-01T16:09:14,future,1.27437,63.12443,102.2038,1404.17364,60.24769,394.21568
43,2026-07-01T16:09:15,future,1.66644,66.01107,104.30629,1389.23083,62.45416,406.72682
44,2026-07-01T16:09:16,future,1.59241,61.95085,92.49094,1360.19779,61.21132,422.38355
45,2026-07-01T16:09:17,future,1.57378,76.33059,87.53387,1331.96789,62.98926,422.07382
46,2026-07-01T16:09:18,future,1.08622,62.3775,90.70728,1331.81185,59.64132,424.572
47,2026-07-01T16:09:19,future,1.18142,69.82766,103.62884,1380.32136,59.17788,414.1149
48,2026-07-01T16:09:20,future,1.16652,70.59861,98.52063,1347.18723,63.29808,411.48855
49,2026-07-01T16:09:21,future,1.64908,61.67629,95.33918,1358.89398,60.03936,421.17001
