step,timestamp,split,vibration_rms,temperature_c,current_a,speed_rpm,acoustic_db,pressure_kpa
0,2026-07-01T16:00:00,history,1.26156,68.12794,100.9204,1366.28306,61.40608,407.06106
1,2026-07-01T16:00:01,history,1.12829,67.87848,98.45414,1364.41974,61.69022,408.41761
2,2026-07-01T16:00:02,history,1.28699,69.20928,106.30395,1371.65755,62.89145,409.74705
3,2026-07-01T16:00:03,history,1.32722,68.70733,97.8747,1370.88476,62.43419,411.54302
4,2026-07-01T16:00:04,history,1.3526,68.9727,107.40167,1378.82796,63.42739,413.26213
5,2026-07-01T16:00:05,history,1.38417,68.93247,106.98765,1377.84877,63.3033,416.21664
6,2026-07-01T16:00:06,history,1.31023,71.28077,105.62595,1370.57914,62.0749,412.28698
7,2026-07-01T16:00:07,history,1.42091,68.32118,104.29326,1388.56992,63.81519,415.42939
8,2026-07-01T16:00:08,history,1.37415,68.84003,103.40045,1379.08024,63.71339,412.85765
9,2026-07-01T16:00:09,history,1.45656,69.39768,103.506,1381.89637,64.33734,418.97784
10,2026-07-01T16:00:10,history,1.52703,69.54866,106.75488,1382.45917,63.46742,415.55634
11,2026-07-01T16:00:11,history,1.51527,71.49833,106.97473,1373.82374,63.86554,417.32134
12,2026-07-01T16:00:12,history,1.50819,70.03552,104.59513,1372.56417,63.39462,418.89402
13,2026-07-01T16:00:13,history,1.54673,70.69466,106.09172,1392.74583,64.3139,417.62692
14,2026-07-01T16:00:14,history,1.50556,69.02926,104.33549,1388.1456,64.51165,414.57441
15,2026-07-01T16:00:15,history,1.57328,70.71133,105.71621,1394.34546,66.63732,419.26051
16,2026-07-01T16:00:16,history,1.48456,71.09359,105.36432,1384.87664,64.04099,419.11777
17,2026-07-01T16:00:17,history,1.55772,71.28759,101.91969,1390.75397,63.03836,418.97554
18,2026-07-01T16:00:18,history,1.5523,72.16274,106.47622,1396.87426,64.24738,423.64443
19,2026-07-01T16:00:19,history,1.54358,72.53879,108.37668,1386.72639,65.75537,417.88112
20,2026-07-01T16:00:20,history,1.45949,74.00103,104.33963,1397.57664,65.86744,419.39728
21,2026-07-01T16:00:21,history,1.61381,71.80159,103.50431,1390.69126,64.42373,420.96813
22,2026-07-01T16:00:22,history,1.52592,70.42217,106.44469,1403.71152,65.21557,422.23357
